Provinces Name,Provinces Code,Series Name,Series Code,2013 [YR2013]
"Belitung Timur, Kab.",ID.BB.BT,Human Development Index,IDX.HDI,73.46
"Belitung, Kab.",ID.BB.BE,Human Development Index,IDX.HDI,74.82
"Pangkal Pinang, Kota",ID.BB.PP,Human Development Index,IDX.HDI,77.3
"Batam, Kota",ID.KR.BA,Human Development Index,IDX.HDI,78.73
"Bintan, Kab.",ID.KR.BN,Human Development Index,IDX.HDI,76.1
"Karimun, Kab.",ID.KR.KA,Human Development Index,IDX.HDI,74.95
"Kepulauan Anambas, Kab.",ID.KR.KP,Human Development Index,IDX.HDI,70.48
"Lingga, Kab.",ID.KR.LI,Human Development Index,IDX.HDI,72.41
"Natuna, Kab.",ID.KR.NA,Human Development Index,IDX.HDI,72.25
"Tanjung Pinang, Kota",ID.KR.TP,Human Development Index,IDX.HDI,76.19
"Bandar Lampung, Kota",ID.LA.BL,Human Development Index,IDX.HDI,77.17
"Lampung Barat, Kab.",ID.LA.LB,Human Development Index,IDX.HDI,70.37
"Lampung Selatan, Kab.",ID.LA.LS,Human Development Index,IDX.HDI,71.25
"Lampung Tengah, Kab.",ID.LA.LT,Human Development Index,IDX.HDI,72.3
"Lampung Timur, Kab.",ID.LA.LI,Human Development Index,IDX.HDI,72.14
"Lampung Utara, Kab.",ID.LA.LU,Human Development Index,IDX.HDI,71.7
"Mesuji, Kab.",ID.LA.MS,Human Development Index,IDX.HDI,68.79
"Metro, Kota",ID.LA.ME,Human Development Index,IDX.HDI,77.53
"Pesawaran, Kab.",ID.LA.PS,Human Development Index,IDX.HDI,71.25
"Pesisir Barat, Kab.",ID.LA.PB,Human Development Index,IDX.HDI,68.43
"Pringsewu, Kab.",ID.LA.PI,Human Development Index,IDX.HDI,73.22
"Tanggamus, Kab.",ID.LA.TA,Human Development Index,IDX.HDI,72.66
"Tulang Bawang Barat, Kab.",ID.LA.TB,Human Development Index,IDX.HDI,70.38
"Tulang Bawang, Kab.",ID.LA.TL,Human Development Index,IDX.HDI,71.86
"Way Kanan, Kab.",ID.LA.WK,Human Development Index,IDX.HDI,71.08
"Halmahera Barat, Kab.",ID.MU.HB,Human Development Index,IDX.HDI,68.56
"Halmahera Selatan, Kab.",ID.MU.HS,Human Development Index,IDX.HDI,69.45
"Halmahera Tengah, Kab.",ID.MU.HT,Human Development Index,IDX.HDI,70.55
"Halmahera Timur, Kab.",ID.MU.HI,Human Development Index,IDX.HDI,69.42
"Halmahera Utara, Kab.",ID.MU.HU,Human Development Index,IDX.HDI,70.36
"Kepulauan Sula, Kab.",ID.MU.KS,Human Development Index,IDX.HDI,69.59
"Kepulauan Tidore, Kota",ID.MU.TK,Human Development Index,IDX.HDI,70.8
"Pulau Morotai, Kab.",ID.MU.PM,Human Development Index,IDX.HDI,67.03
"Pulau Taliabu, Kab.",ID.MU.PT,Human Development Index,IDX.HDI,64.99
"Ternate, Kota",ID.MU.TE,Human Development Index,IDX.HDI,78.44
"Ambon, Kota",ID.MA.AM,Human Development Index,IDX.HDI,79.58
"Buru Selatan, Kab.",ID.MA.BS,Human Development Index,IDX.HDI,70.23
"Buru, Kab.",ID.MA.BU,Human Development Index,IDX.HDI,70.79
"Kepulauan Aru, Kab.",ID.MA.KA,Human Development Index,IDX.HDI,71.29
"Maluku Barat Daya, Kab.",ID.MA.MB,Human Development Index,IDX.HDI,67.67
"Maluku Tengah, Kab.",ID.MA.MT,Human Development Index,IDX.HDI,71.81
"Maluku Tenggara Barat, Kab.",ID.MA.MU,Human Development Index,IDX.HDI,69.87
"Maluku Tenggara, Kab.",ID.MA.MG,Human Development Index,IDX.HDI,73.6
"Seram Bagian Barat, Kab.",ID.MA.SB,Human Development Index,IDX.HDI,70.75
"Seram Bagian Timur, Kab.",ID.MA.ST,Human Development Index,IDX.HDI,69.11
"Tual, Kota",ID.MA.TA,Human Development Index,IDX.HDI,77.91
